,Release Group,Score_Rotten,Score_Audience,Rating,Genre,Director,Producer,Release Date (Theaters),Box Office (Gross USA)
189,Joy of Fatherhood,,,,,,,,
190,A Hard Day,83,77,,"['Action', 'Mystery&thriller']",['KimSeong-hun'],,"['Jul 17', '2015']",
191,Top Five,86,64,R,['Comedy'],['ChrisRock'],"['ScottRudin', 'EliBush']","['Dec 12', '2014']",25.3M
192,Iceman,83,65,,"['Drama', 'Adventure']",['FelixRandau'],['JanKrüger'],"['Mar 15', '2019']",2.1K
193,Meet Miss Anxiety,,,,,,,,
194,"Love, Rosie",32,63,R,"['Comedy', 'Romance']",['ChristianDitter'],"['SimonBrooks', 'DonCarmody', 'JamesFlynn', 'RobertKulzer']","['Feb 6', '2015']",14.9K
195,A Haunted House 2,8,43,R,"['Horror', 'Comedy']",['MikeTiddes'],"['RickAlvarez', 'MarlonWayans']","['Apr 18', '2014']",17.3M
196,And So It Goes,18,40,PG-13,"['Drama', 'Comedy', 'Romance']",['RobReiner'],"['RobReiner', 'AlanGreisman', 'MarkDamon']","['Jul 25', '2014']",15.2M
197,Kung Fu Jungle,,,,,,,,
198,Hot Road,,,,['Drama'],['TakahiroMiki'],,,
199,Fading Gigolo,54,41,R,"['Drama', 'Romance', 'Comedy']",['JohnTurturro'],"['BillBlock', 'PaulHanson', 'JeffreyKusama-Hinte', 'JamesDebbs']","['Apr 18', '2014']",3.8M
