movie,tmdbid,imdbid,actor1,actor1_popularity,actor2,actor2_popularity,actor3,actor3_popularity,actor4,actor4_popularity,actor5,actor5_popularity
The Pioneer,919149,tt6966566,,,,,,,,,,
The Green Knight,559907,tt9243804,Dev Patel,9.853,Alicia Vikander,17.078,Joel Edgerton,9.409,Sarita Choudhury,13.405,Sean Harris,13.718
Antlers,516329,tt7740510,Keri Russell,11.239,Jesse Plemons,32.283,Jeremy Thomas,0.65,Graham Greene,8.627,Scott Haze,12.219
Sinkhole,623135,tt12664618,Cha Seung-won,11.741,Kim Sung-kyun,6.544,Lee Kwang-soo,11.993,Kim Hye-jun,8.329,Nam Da-reum,8.457
Mobile Suit Gundam: Hathaway,685274,tt13288678,Kensho Ono,15.102,Reina Ueda,9.419,Junichi Suwabe,16.209,Soma Saito,5.484,Atsumi Tanezaki,18.831
The Stronghold,637534,tt10404944,Gilles Lellouche,5.064,François Civil,3.137,Karim Leklou,3.335,Adèle Exarchopoulos,8.122,Cyril Lecomte,3.055
Bo Gia,787459,tt13925862,Trấn Thành,1.694,Tuấn Trần,0.618,Ngân Chi,0.6,Ngọc Giàu,0.84,Lê Giang,1.4
The Dry,567797,tt5144174,Eric Bana,15.937,Genevieve O'Reilly,6.625,Keir O'Donnell,6.106,John Polson,4.789,Matt Nable,7.088
Gintama: The Final,732203,tt10766468,Tomokazu Sugita,10.146,Daisuke Sakaguchi,3.174,Rie Kugimiya,17.678,Kazuya Nakai,10.996,Akira Ishida,11.463
Railway Heroes,889227,tt13859694,Zhang Hanyu,8.378,Fan Wei,3.436,Vision Wei,2.419,Zhou Ye,5.421,Yu Haoming,4.756
The Wolf and the Lion,780382,tt10945288,Molly Kunz,13.447,Graham Greene,8.627,Charlie Carrick,7.353,Derek Johns,1.4,Rebecca Croll,1.797
Upon the Magic Roads,576784,tt11390180,Anton Shagin,4.026,Pavel Derevyanko,5.265,Mikhail Efremov,0.635,Paulina Andreeva,5.425,Yan Tsapnik,7.57
Reminiscence,579047,tt3272066,Hugh Jackman,23.696,Rebecca Ferguson,48.521,Thandiwe Newton,29.571,Cliff Curtis,16.479,Marina de Tavira,3.45
Your Turn to Kill,915295,tt15034594,Tomoyo Harada,4.976,Kei Tanaka,7.43,Nanase Nishino,8.888,Ryusei Yokohama,16.296,Kodai Asaka,7.167
The Night House,547565,tt9731534,Rebecca Hall,27.441,Sarah Goldberg,8.798,Vondie Curtis-Hall,10.476,Evan Jonigkeit,10.762,Stacy Martin,11.792
Minari,615643,tt10633456,Steven Yeun,10.156,Han Yeri,9.114,Youn Yuh-jung,10.541,Will Patton,37.443,Alan Kim,1.176
Something About Love,226726,tt0125505,Stefan Wodoslawsky,1.399,Jan Rubeš,2.472,Jennifer Dale,4.6,,,,
Anita,47397,tt0069718,Christina Lindberg,4.854,Stellan Skarsgård,20.205,Danièle Vlaminck,1.025,Michel David,0.656,Erika Wickman,0.984
The Tomorrow War,588228,tt9777666,Chris Pratt,27.826,Yvonne Strahovski,22.169,J.K. Simmons,17.78,Betty Gilpin,16.992,Sam Richardson,16.43
"And, the Baton Was Passed",853731,tt14605210,Satomi Ishihara,17.179,Nao Omori,5.409,Mei Nagano,11.008,Kei Tanaka,7.43,Kenshi Okada,8.232
Cry Macho,749274,tt1924245,Clint Eastwood,39.921,Eduardo Minett,3.937,Natalia Traven,8.028,Dwight Yoakam,7.01,Fernanda Urrejola,8.886
99.9 Criminal Lawyer: The Movie,,,,,,,,,,,,
Crayon Shin-chan: Shrouded in Mystery! The Flowers of Tenkazu Academy,795564,tt13642590,Yumiko Kobayashi,7.283,Tamao Hayashi,1.952,Teiyū Ichiryūsai,2.397,Satomi Korogi,5.163,Mari Mashiba,2.25
Sword Art Online: Progressive - Aria of a Starless Night,761898,tt13424422,Yoshitsugu Matsuoka,15.061,Haruka Tomatsu,19.934,Inori Minase,12.805,Koichi Yamadera,9.389,Hiroki Yasumoto,8.786
Christmas with the Chosen: The Messengers,905068,tt15772866,Sara Ann Burciaga,0.6,Raj Bond,0.6,Phil Wickham,0.6,Joel Smallbone,0.654,Luke Smallbone,0.6
OSS 117: From Africa with Love,604563,tt7972012,Jean Dujardin,16.879,Pierre Niney,9.534,Wladimir Yordanoff,1.01,Fatou N'Diaye,4.033,Natacha Lindinger,6.548
Hostage: Missing Celebrity,602463,tt14941222,Hwang Jung-min,8.721,Kim Jae-bum,1.082,Lee You-mi,11.787,Ryu Kyung-soo,4.325,Lee Ho-jung,8.645
Eiffel,655082,tt10366514,Romain Duris,13.919,Emma Mackey,36.057,Pierre Deladonchamps,4.013,Armande Boulanger,3.486,Andranic Manet,3.963
Vakeel Saab,673732,tt8269248,Pawan Kalyan,4.263,Prakash Raj,3.906,Shruti Haasan,6.807,Nivetha Thomas,3.874,Anjali,4.026
Monkey King Reborn,811634,tt14391088,Bian Jiang,2.351,Cai Haiting,0.6,Su Shangqing,3.637,Zhang Lei,0.6,He Zhang,1.495
School of Magical Animals,793937,tt11455260,Emilia Maier,0.623,Leonard Artur Conrads,0.764,Loris Sichrovsky,1.16,Nadja Uhl,1.183,Justus von Dohnányi,3.352
No Escapes,15244,tt0049902,François Leterrier,3.735,Charles Le Clainche,2.109,Maurice Beerblock,0.6,Roland Monod,1.22,Jacques Ertaud,0.607
The Bodin's in the Land of Smile,874294,tt15049366,Vincent Dubois,2.387,Jean-Christian Fraiscinet,0.84,Bella Boonsang,0.6,Nicolas Marié,0.913,Fanny Dubois,0.6
The Many Saints of Newark,524369,tt8110232,Alessandro Nivola,6.133,Leslie Odom Jr.,6.866,Michael Gandolfini,3.517,Ray Liotta,16.388,Michela De Rossi,9.204
Character,951284,,,,,,,,,,,
On Your Mark,10840,tt0114038,Chage & Aska,0.6,,,,,,,,
Stand by Me,265712,tt3331846,Wasabi Mizuta,6.349,Megumi Oohara,3.434,Yumi Kakazu,3.533,Subaru Kimura,15.999,Tomokazu Seki,12.709
On the Line,398289,tt3727202,John Travolta,11.259,Kate Bosworth,16.088,Devon Sawa,19.409,Julie Benz,20.135,Sharon Stone,21.114
The Fable: The Killer Who Doesn't Kill,734519,tt13017204,Junichi Okada,10.037,Fumino Kimura,10.017,Shinichi Tsutsumi,4.393,Yurina Hirate,3.738,Masanobu Ando,10.783
What Did You Eat Yesterday?,824362,tt14865506,Hidetoshi Nishijima,11.729,Seiyo Uchino,9.185,Koji Yamamoto,2.806,Hayato Isomura,6.276,Makita Sports,2.223
Aline,498402,tt9735462,Valérie Lemercier,2.99,Sylvain Marcel,1.751,Arnaud Préchac,0.6,Michel Drucker,1.326,Denis Lefrançois,0.6
Harry Potter and the Sorcerer's Stone 2021 Re-release,,,,,,,,,,,,
Krack,125442,tt2151560,,,,,,,,,,
Kaiserschmarrndrama,700578,tt11034894,Sebastian Bezzel,4.307,Simon Schwarz,1.117,Lisa Maria Potthoff,4.312,Michael Ostrowski,2.205,Enzi Fuchs,2.319
"Caution, Hazardous Wife: The Movie",706566,tt11477842,Haruka Ayase,16.757,Hidetoshi Nishijima,11.729,Kosuke Suzuki,2.77,Kenshi Okada,8.232,Atsuko Maeda,3.157
Realm of Terracotta,844158,tt10075380,Zhu Guangzu,0.6,Ming Zhang,0.6,Ziyu Zhou,1.38,Tan Xiao,1.4,,
Detective Conan: The Scarlet Alibi,801293,tt13884166,Minami Takayama,10.806,Wakana Yamazaki,3.604,Rikiya Koyama,7.883,Shuuichi Ikeda,5.826,Megumi Hayashibara,7.296
Never Stop,341012,tt3960412,Andy Samberg,40.034,Jorma Taccone,10.694,Akiva Schaffer,3.707,Sarah Silverman,9.285,Tim Meadows,9.055
Sumikko Gurashi The Movie: The Magical Child Of The Blue Moonlit Night,,,,,,,,,,,,
Black Box,716258,tt12298506,Mamoudou Athie,3.875,Phylicia Rashād,6.543,Amanda Christine,4.047,Tosin  Morohunfola,5.103,Charmaine Bingwa,1.742
The Soul,754334,tt12944564,Jon Meacham,1.403,John Lewis,1.646,George Takei,6.345,Lisa Tetrault,0.6,Donald Tamaki,0.6
¡A todo tren! Destino Asturias,800823,tt13150080,Santiago Segura,5.856,Leo Harlem,2.295,El Cejas,0.6,David Guapo,3.185,Alan Miranda,0.98
Baragaki: Unbroken Samurai,726894,tt11487698,Junichi Okada,10.037,Ko Shibasaki,13.234,Ryohei Suzuki,6.466,Ryosuke Yamada,4.725,Hideaki Ito,9.538
