movie,tmdbid,imdbid,actor1,actor1_popularity,actor2,actor2_popularity,actor3,actor3_popularity,actor4,actor4_popularity,actor5,actor5_popularity
A Haunted House,139038,tt2243537,Marlon Wayans,12.773,Essence Atkins,5.423,Nick Swardson,8.413,Cedric the Entertainer,9.433,David Koechner,8.727
Beautiful Creatures,109491,tt1559547,Alden Ehrenreich,4.862,Alice Englert,6.287,Jeremy Irons,13.292,Viola Davis,11.558,Emmy Rossum,17.786
Snitch,134411,tt0882977,Dwayne Johnson,29.99,Barry Pepper,22.121,Susan Sarandon,22.136,Benjamin Bratt,14.298,Michael Kenneth Williams,8.053
The Physician,169881,tt2101473,Tom Payne,10.227,Ben Kingsley,17.546,Stellan Skarsgård,20.205,Olivier Martinez,7.944,Emma Rigby,13.839
Firestorm,41417,tt0120670,Howie Long,3.884,Scott Glenn,19.362,Suzy Amis,3.686,William Forsythe,6.831,Christianne Hirt,2.588
Dallas Buyers Club,152532,tt0790636,Matthew McConaughey,20.491,Jennifer Garner,16.887,Jared Leto,70.2,Denis O'Hare,5.229,Steve Zahn,28.971
A Madea Christmas,175555,tt2609758,Tyler Perry,7.41,Anna Maria Horsford,9.159,Tika Sumpter,7.342,Eric Lively,4.23,Chad Michael Murray,17.044
Temptation: Confessions of a Marriage Counselor,97006,tt2070862,Kim Kardashian West,17.531,Vanessa Williams,10.646,Brandy Norwood,8.999,Jurnee Smollett,11.34,Lance Gross,8.788
Delivery Man,146239,tt2387559,Vince Vaughn,17.127,Cobie Smulders,17.517,Chris Pratt,27.826,Britt Robertson,23.536,Jack Reynor,11.957
The 100 Year-Old Man Who Climbed Out the Window and Disappeared,760694,tt7289232,Will Ferrell,13.839,,,,,,,,
Dragon Ball Z: Battle of Gods,126963,tt2263944,Masako Nozawa,10.188,Koichi Yamadera,9.389,Masakazu Morita,3.179,Ryou Horikawa,6.233,Hiromi Tsuru,3.076
The Berlin File,160704,tt2357377,Ha Jung-woo,9.169,Han Suk-kyu,8.334,Ryoo Seung-bum,5.821,Jun Ji-hyun,24.218,Lee Kyung-young,10.791
Her,152601,tt1798709,Joaquin Phoenix,17.538,Scarlett Johansson,38.188,Amy Adams,19.554,Rooney Mara,14.801,Olivia Wilde,19.984
Homefront,204082,tt2312718,Jason Statham,68.171,James Franco,11.754,Izabela Vidovic,13.153,Winona Ryder,20.857,Rachelle Lefevre,15.061
The Last Stand,76640,tt1549920,Arnold Schwarzenegger,30.027,Johnny Knoxville,19.66,Jaimie Alexander,10.684,Zach Gilford,12.46,Kristen Rakes,1.393
21 & Over,107811,tt1711425,Skylar Astin,9.985,Justin Chon,4.165,Miles Teller,12.138,Sarah Wright,10.374,Jonathan Keltz,6.28
Texas Chainsaw,632727,tt11755740,Sarah Yarkin,18.124,Elsie Fisher,12.425,Mark Burnham,8.681,Jacob Latimore,9.509,Moe Dunford,11.938
