,Movie Title,Worldwide,Domestic,%,Foreign,%.1,Score_Rotten,Score_Audience,Rating,Director,Producer,Release Date (Theaters),Box Office (Gross USA),averageRating,numVotes,titleType,originalTitle,isAdult,startYear,runtimeMinutes,genres
161,Get on Up,"33,448,971","30,703,100",91.8,"2,745,871",8.2,80.0,68.0,PG-13,TateTaylor,"BrianGrazer,MickJagger,VictoriaPearman,EricaHuggins,TateTaylor",8-1-2014,30500000.0,6.9,24394,movie,Get on Up,0,2014,139,"Biography,Drama,Music"
162,Girls,"33,325,338",-,-,"33,325,338",100,84.0,66.0,PG-13,MarkWaters,LorneMichaels,4-30-2004,86100000.0,5.1,376,movie,Gui mi,0,2014,119,"Comedy,Romance"
163,The Crossing,"32,806,475",-,-,"32,806,475",100,,,,,,,,6.1,1805,movie,The Crossing,0,2014,129,"Drama,History,Romance"
164,Old Boys: The Way of the Dragon,"32,800,000",-,-,"32,800,000",100,,44.0,,YangXiao,,,,5.3,199,movie,Lao nan hai zhi Meng long guo jiang,0,2014,114,Comedy
165,The Four 3,"31,521,335",-,-,"31,521,335",100,,,,,,,,5.6,913,movie,Si da ming bu 3,0,2014,106,Action
166,Tazza: The Hidden Card,"31,278,476","251,555",0.8,"31,026,921",99.2,,72.0,,KangHyeong-cheol,,,24.1K,6.8,2239,movie,Tajja: Sineui son,0,2014,147,"Crime,Drama"
167,Mrs. Brown's Boys D'Movie,"31,116,264",-,-,"31,116,264",100,6.0,43.0,,BenKellett,StephenMcCrum,,,4.2,5286,movie,Mrs. Brown's Boys D'Movie,0,2014,94,Comedy
168,Rise of the Legend,"30,932,534",-,-,"30,932,534",100,,,,,,,,6.4,3705,movie,Huang feihong zhi yingxiong you meng,0,2014,131,"Action,Biography,Drama"
169,Winter's Tale,"30,800,231","12,600,231",40.9,"18,200,000",59.1,13.0,43.0,PG-13,AkivaGoldsman,"AkivaGoldsman,MarcPlatt,MichaelTadross,TonyAllard",2-14-2014,12600000.0,6.2,54363,movie,Winter's Tale,0,2014,118,"Drama,Fantasy,Mystery"
170,Wild Tales,"30,642,704","3,106,530",10.1,"27,536,174",89.9,94.0,92.0,R,DamiánDavidSzifron,"HugoSigman,PedroAlmodóvar,AgustínAlmodóvar,EstherGarcía,MatíasMosteirín",2-20-2015,3100000.0,8.1,192573,movie,Relatos salvajes,0,2014,122,"Comedy,Drama,Thriller"
