,Unnamed: 0,Unnamed: 0.1,Movie Title,Worldwide,Budget,%,Foreign,%.1,Score_Rotten,Score_Audience,Rating,Director,Producer,Release Date (Theaters),Box Office (Gross USA),averageRating,numVotes,titleType,originalTitle,isAdult,startYear,runtimeMinutes,genres
89,89,89,War Dogs,86234523,43034523,49.9,43200000,50.1,61.0,69.0,R,ToddPhillips,"MarkGordon,ToddPhillips,BradleyCooper",8-19-2016,43000000.0,7.1,206068,movie,War Dogs,0,2016,114,"Biography,Comedy,Crime"
90,90,90,Big Fish & Begonia,85409373,-,-,85409373,100,91.0,70.0,PG-13,"XuanLiang,ChunZhang",,4-6-2018,,7.0,6058,movie,Da yu hai tang,0,2016,100,"Adventure,Animation,Drama"
91,91,91,Nerve,85251425,38583626,45.3,46667799,54.7,66.0,66.0,PG-13,"HenryJoost,ArielSchulman","AllisonShearmur,AnthonyKatagas",7-27-2016,38600000.0,6.5,126529,movie,Nerve,0,2016,96,"Action,Adventure,Crime"
92,92,92,Leap!,84197417,2844490,3.4,81352927,96.6,42.0,62.0,PG,"StéphaneMeunier,ÉricWarin","LaurentZeitoun,YannZenou,NicolasDuval-Adassovsky,AndreRouleau,Valéried'Auteuil",8-25-2017,21800000.0,6.8,21940,movie,Ballerina,0,2016,89,"Adventure,Animation,Comedy"
93,93,93,Ouija: Origin of Evil,81705746,35144505,43,46561241,57,82.0,57.0,PG-13,MikeFlanagan,"MichaelBay,AndrewForm,BradFuller,JasonBlum,BrianGoldner,StephenDavis",10-21-2016,34900000.0,6.2,61552,movie,Ouija: Origin of Evil,0,2016,99,"Drama,Horror,Mystery"
94,94,94,Underworld: Blood Wars,81093313,30353973,37.4,50739340,62.6,21.0,49.0,R,AnnaFoerster,"TomRosenberg,GaryLucchesi,LenWiseman,RichardS.Wright,DavidKern",1-6-2017,30300000.0,5.7,74830,movie,Underworld: Blood Wars,0,2016,91,"Action,Adventure,Fantasy"
95,95,95,Manchester by the Sea,78988148,47695371,60.4,31292777,39.6,96.0,78.0,R,KennethLonergan,"MattDamon,KimberlySteward,ChrisMoore,LaurenBeck,KevinJ.Walsh",12-16-2016,47700000.0,7.8,271895,movie,Manchester by the Sea,0,2016,137,Drama
96,96,96,The Boss,78844582,63285885,80.3,15558697,19.7,22.0,38.0,R,BenFalcone,"MelissaMcCarthy,BenFalcone,WillFerrell,AdamMcKay,ChrisHenchy",4-8-2016,63000000.0,5.4,45680,movie,The Boss,0,2016,99,Comedy
97,97,97,Shin Godzilla,77947607,1918403,2.5,76029204,97.5,,,,,,,,6.8,27031,movie,Shin Gojira,0,2016,120,"Action,Drama,Horror"
98,98,98,Mike and Dave Need Wedding Dates,77068246,46009673,59.7,31058573,40.3,38.0,51.0,R,JakeSzymanski,"PeterChernin,JonathanLevine,JennoTopping",7-8-2016,46000000.0,6.0,88142,movie,Mike and Dave Need Wedding Dates,0,2016,98,"Comedy,Romance"
