,Unnamed: 0,Movie Title,Worldwide,Domestic,%,Foreign,%.1,Score_Rotten,Score_Audience,Rating,Director,Producer,Release Date (Theaters),Box Office (Gross USA),averageRating,numVotes,titleType,originalTitle,isAdult,startYear,runtimeMinutes,genres
159,159,Fall In Love At First Kiss,29206238,-,-,29206238,100,,,,FrankieChen,,,,6.0,685,movie,Yi wen ding qing,0,2019,122,"Comedy,Romance"
160,160,Gully Boy,28299498,5566534,19.7,22732964,80.3,96.0,81.0,,ZoyaAkhtar,"FarhanAkhtar,ZoyaAkhtar,RiteshSidhwani",,5300000.0,7.9,37889,movie,Gully Boy,0,2019,154,"Drama,Music,Romance"
161,161,Kim Ji-young: Born 1982,27696393,-,-,27696393,100,,,,,,,,7.3,3331,movie,82 nyeonsaeng Kim Ji-yeong,0,2019,118,Drama
162,162,Pokémon: Mewtwo Strikes Back - Evolution,27347118,-,-,27347118,100,44.0,44.0,,KunihikoYuyama,,,,5.7,5335,movie,Pokémon: Mewtwo Strikes Back - Evolution,0,2019,98,"Action,Animation,Family"
163,163,Almost a Comedy,26990962,-,-,26990962,100,,,,,,,,6.7,553,movie,Ban ge xi ju,0,2019,111,Drama
164,164,Total Dhamaal,26911995,2167632,8.1,24744363,91.9,30.0,40.0,,IndraKumar,"AshokThakeria,IndraKumar,AnandPandit",2-22-2019,2200000.0,4.2,6857,movie,Total Dhamaal,0,2019,130,"Action,Adventure,Comedy"
165,165,Missing Link,26565710,16649539,62.7,9916171,37.3,88.0,67.0,PG,ChrisButler,"ArianneSutner,TravisKnight",4-12-2019,16600000.000000002,6.7,25274,movie,Missing Link,0,2019,93,"Adventure,Animation,Comedy"
166,166,No Manches Frida 2,26493648,9270920,35,17222728,65,13.0,27.0,R,NachoG.Velilla,"EdwardAllen,MarthaHigareda,MauricioArgüelles,NachoG.Velilla",3-15-2019,9300000.0,4.2,1003,movie,No manches Frida 2,0,2019,102,Comedy
167,167,The Confidence Man JP: The Movie,25958189,-,-,25958189,100,,,,,,,,6.7,1119,movie,The Confidence Man JP: The Movie,0,2019,116,"Comedy,Crime"
168,168,"The Gangster, the Cop, the Devil",25775371,216494,0.8,25558877,99.2,97.0,94.0,,Won-TaeLee,"JangWon-seok,BradenAftergood,MaDong-seok",6-7-2019,216.5K,6.9,12295,movie,Akinjeon,0,2019,109,"Action,Crime,Thriller"
169,169,Bodies at Rest,25293853,-,-,25293853,100,83.0,,,RennyHarlin,KimFungCheng,,,5.6,766,movie,Chen mo de zheng ren,0,2019,94,"Action,Crime,Mystery"
170,170,Booksmart,24959607,22680962,90.9,2278645,9.1,96.0,77.0,R,OliviaWilde,"MeganEllison,JessicaElbaum,KatieSilberman,ChelseaBarnard,DavidDistenfeld",5-24-2019,22700000.0,7.1,112707,movie,Booksmart,0,2019,102,Comedy
171,171,Super 30,24701637,2269878,9.2,22431759,90.8,31.0,92.0,,VikasBahl,SajidNadiadwala,7-12-2019,2300000.0,8.1,29549,movie,Super 30,0,2019,154,"Biography,Drama"
172,172,Son of a Rich,24579050,-,-,24579050,100,,,,,,,,6.7,4250,movie,Kholop,0,2019,109,Comedy
173,173,Skyfire,24444590,1105,<0.1,24443485,100,52.0,,,SimonWest,"ChrisBremble,JenniferDong,JibPolhemus,EmmaShanWang",2-12-2021,,5.3,2856,movie,Skyfire,0,2019,97,"Action,Adventure,Drama"
