Unnamed: 0,Movie Title,Release-Date,moviename,release_date,budget,year,cleaned_budget,cleaned_release_date,rd
1880,Detective Chinatown 3,,Detective Chinatown 3,"
12 February 2021 (2021-02-12) (China)
",$117 million,2021.0,117000000.0,2021-02-12,2021-02-12
1892,"My Country, My Parents",2021-10-08,,,,,,,2021-10-08
1897,Chinese Doctors,2021-07-30,,,,,,,2021-07-30
1898,Cliff Walkers,2021-04-30,,,,,,,2021-04-30
1904,A Writer's Odyssey,2021-02-12,,,,,,,2021-02-12
1908,Be Somebody,2016-06-10,,,,,,,2016-06-10
1915,Detective Conan: The Scarlet Bullet,,Detective Conan: The Scarlet Bullet,"
April 16, 2021 (2021-04-16)
",,2021.0,,2021-04-16,2021-04-16
1916,Evangelion: 3.0+1.01 Thrice Upon a Time,,Evangelion: 3.0+1.01 Thrice Upon a Time,,,0.0,,,
1917,End Game,,End Game,,,2021.0,,,
1920,Boonie Bears: The Wild Life,,Boonie Bears: The Wild Life,,,2021.0,,,
1923,1921,,1921,"
1 July 2021 (2021-07-01) (China)
",,2021.0,,2021-07-01,2021-07-01
1928,Cloudy Mountain,2021-10-22,,,,,,,2021-10-22
1929,Nezha Reborn,,Nezha Reborn,"
February 12, 2021 (2021-02-12) (China)
April 12, 2021 (2021-04-12) (international)
",,2021.0,,2021-04-12,2021-04-12
1931,Man in Love,,Man in Love,"
1 April 2021 (2021-04-01)
 (Taiwan)
11 June 2021 (2021-06-11)
 (China)
22 July 2021 (2021-07-22)
 (Hong Kong)
20 August 2021 (2021-08-20)
 (Netflix)",,2021.0,,2021-08-20,2021-08-20
1932,Break Through the Darkness,,Break Through the Darkness,"
January 22, 2005 (2005-01-22)
",,2021.0,,2005-01-22,2005-01-22
1934,Schemes in Antiques,2021-12-17,,,,,,,2021-12-17
1935,Luca,2021-06-18,,,,,,,2021-06-18
1939,Love Will Tear Us Apart,,Love Will Tear Us Apart,,,2021.0,,,
1945,Tokyo Revengers,,Tokyo Revengers,,,2021.0,,,
1950,The Yinyang Master,,The Yinyang Master,"
12 February 2021 (2021-02-12)
 (China)
19 March 2021 (2021-03-19)
 (Netflix)",,2021.0,,2021-03-19,2021-03-19
