Release-Date,Movie,Revenue, Revenue1,NumTheatres,Production,UNK1,UNK2,UNK3
2011-05-06,Thor,"$181,030,624","$181,030,624",8,Paramount Pictures,,,
2011-05-06,Something Borrowed,"$39,046,489","$39,046,489",80,Warner Bros.,,,
2011-05-06,Jumping the Broom,"$37,295,394","$37,295,394",89,TriStar Pictures,,,
2011-05-13,Bridesmaids,"$169,106,725","$169,106,725",12,Universal Pictures,,,
2011-05-13,Priest,"$29,137,000","$29,137,000",105,Screen Gems,,,
2011-05-13,Everything Must Go,"$2,711,643","$2,711,643",189,Roadside Attractions,,,
2011-05-20,Pirates of the Caribbean: On Stranger Tides,"$241,071,802","$241,071,802",5,Walt Disney Studios Motion Pictures,,,
2011-05-20,Midnight in Paris,"$56,369,174","$56,817,045",57,Sony Pictures Classics,,,
2011-05-26,The Hangover Part II,"$254,464,305","$254,464,305",4,Warner Bros.,,,
2011-05-26,Kung Fu Panda 2,"$165,249,063","$165,249,063",13,DreamWorks,,,
2011-05-27,The Tree of Life,"$13,303,319","$13,303,319",138,Fox Searchlight Pictures,,,
2011-05-28,Sea Rex 3D: Journey to a Prehistoric World,"$3,324,264","$6,096,582",182,3D Entertainment,,,
2011-06-03,X-Men: First Class,"$146,408,305","$146,408,305",14,Twentieth Century Fox,,,
2011-06-03,Beginners,"$5,790,894","$5,790,894",162,Focus Features,,,
2011-06-10,Super 8,"$127,004,179","$127,004,179",18,Paramount Pictures,,,
2011-06-10,Judy Moody and the Not Bummer Summer,"$15,013,650","$15,013,650",134,Relativity Media,,,
2011-06-10,The Trip,"$2,030,962","$2,030,962",200,IFC Films,,,
2011-06-17,Green Lantern,"$116,601,172","$116,601,172",24,Warner Bros.,,,
2011-06-17,Mr. Popper's Penguins,"$68,224,452","$68,224,452",49,Twentieth Century Fox,,,
2011-06-17,Buck,"$4,038,912","$4,038,912",176,IFC Films,,,
2011-06-24,Cars 2,"$191,452,396","$191,452,396",7,Walt Disney Studios Motion Pictures,,,
